sample,signal,construction,bucket_col,months,delta_mean_years_to_maturity_mean_avg,delta_last_years_to_maturity_mean_avg,delta_mean_curve_rmse_mean_avg,delta_last_curve_rmse_mean_avg,delta_mean_n_issues_mean_avg,delta_max_n_issues_mean_avg,delta_total_trade_count_mean_avg,delta_total_gross_volume_mean_avg,delta_mean_log_gross_volume_mean_avg,delta_mean_liquidity_weight_mean_avg,delta_mean_curve_support_score_mean_avg,delta_cheap_share_mean_avg,delta_rich_share_mean_avg,delta_unstable_curve_share_mean_avg,delta_coupon_mean_avg,delta_amount_outstanding_mean_avg,long_amount_outstanding_mean_avg,short_amount_outstanding_mean_avg,long_rating_a_or_better_share_avg,long_rating_bb_share_avg,short_rating_a_or_better_share_avg,short_rating_bb_share_avg,short_rating_missing_share_avg,long_rating_missing_share_avg,long_rating_ccc_or_lower_share_avg,long_rating_b_share_avg,short_rating_b_share_avg,short_rating_ccc_or_lower_share_avg,long_amount_small_amt_share_avg,long_amount_mid_amt_share_avg,long_amount_large_amt_share_avg,short_amount_small_amt_share_avg,short_amount_large_amt_share_avg,short_amount_mid_amt_share_avg,long_amount_missing_share_avg,short_amount_missing_share_avg,short_rating_default_share_avg,long_rating_default_share_avg
train_2002_2016,last_issuer_date_residual_z,amount_neutral,amount_bucket,98,-1.4120247222,-1.4124462204,-0.0386156484,-0.0367512424,-0.3432618949,-0.686846912,1.0271337697,-13340608.564193893,-0.5314654102,-0.7748777319,0.1322306412,0.6725637699,-0.6725637699,-0.0016334126,0.8762139483,33751.5718119472,609033.5757570693,575282.003945122,0.584637744,0.394326567,0.5859906256,0.3889570745,0.0307765152,,0.0220370274,0.0380650457,0.0367700071,0.0231280001,0.3732346635,0.3139934457,0.3192333891,0.3732346635,0.3192333891,0.3139934457,,,,
train_2002_2016,last_issuer_date_residual_z,global,,174,1.6637249421,1.6661993206,0.0444463023,0.0448565705,-3.2982023615,-4.2716120388,-17.3094298055,-19227261.61081084,-0.5449544341,-1.9080298682,-0.0368206243,0.6535860788,-0.653583568,0.0056201448,0.8373619172,-37722.0015179827,462450.6539275143,472421.7636490064,0.5543767388,0.3697589232,0.560023317,0.373642052,0.0205131146,0.0403328578,0.0177275923,0.032923034,0.0406606155,0.0166466464,0.0527492517,0.0312242324,0.0250088408,0.0273093025,0.0221565019,0.0266979973,0.9142120995,0.9413451183,0.0041058663,0.003478042
train_2002_2016,last_issuer_date_residual_z,rating_neutral,rating_bucket,174,1.7755769258,1.7777275912,0.0026589333,0.0042120779,-3.6916921358,-4.6439420854,-15.8934991577,-19852881.58928441,-0.5341825102,-1.8418207368,-0.0329036898,0.6494459599,-0.6494434415,0.0020635329,0.9250326736,-27265.2512298103,462357.2095978429,471120.7404613622,0.5706047419,0.383419557,0.5706047419,0.383419557,0.0457372608,0.0457372608,0.0260929889,0.0387441896,0.0387441896,0.0260929889,0.0539175908,0.0317526784,0.0257453337,0.0279439718,0.0225068576,0.0272594344,0.9124447595,0.9401541647,,
train_2002_2016,last_residual_over_rmse,amount_neutral,amount_bucket,98,-1.4262261817,-1.4269949717,-0.0363733908,-0.0383085397,-1.3853210339,-1.7394200157,-1.7974743669,-10012518.87602172,-0.4818850964,-0.846852099,0.114445021,0.6703706286,-0.6703706286,-0.0009887589,0.8347857416,25682.8576264858,597055.1503162303,571372.2926897445,0.5637572322,0.4126055656,0.575209652,0.4031828438,0.0309343434,,0.0261350212,0.0397546633,0.0353650872,0.0210014015,0.3732346635,0.3139934457,0.3192333891,0.3732346635,0.3192333891,0.3139934457,,,,
train_2002_2016,last_residual_over_rmse,global,,174,1.4694404174,1.4714079246,0.0480477439,0.0458078032,-1.0285288924,-1.3989075664,-15.1528282296,-15633114.422790628,-0.5435835187,-1.7556459663,0.0114478365,0.6447998935,-0.6447998935,0.0063995195,0.7692265807,-44692.0272085057,446270.1502814471,464045.6170310539,0.5494975984,0.3685539924,0.5512436007,0.377805641,0.0248838918,0.0447284556,0.0187331508,0.0350348928,0.0424182624,0.0163256392,0.0517747499,0.0324450864,0.0228202744,0.029204181,0.022187949,0.0294254342,0.9157966681,0.937425506,0.0040277623,0.0037237352
train_2002_2016,last_residual_over_rmse,rating_neutral,rating_bucket,174,1.6105333092,1.6121670425,0.0044367747,0.0043243258,-1.5054610425,-1.8922423518,-16.1197284634,-16610195.923988117,-0.540220826,-1.7700819484,0.0167404898,0.6401995157,-0.6401995157,0.0027767233,0.866135273,-39849.9810466605,442721.3040050038,468272.1775625836,0.5706047419,0.383419557,0.5706047419,0.383419557,0.0457372608,0.0457372608,0.0260929889,0.0387441896,0.0387441896,0.0260929889,0.0532306999,0.0334448666,0.0246857098,0.0302902461,0.0231465974,0.0300976732,0.9124890272,0.9350146551,,
valid_2017_2019,composite_residual_rank,amount_neutral,amount_bucket,36,0.1421657731,0.1443591897,0.0006825177,-0.0014146677,-2.3028407958,-2.8362146676,-16.1096770176,-19710005.9711268,-0.5272621451,-1.9045992679,-0.0273178014,0.7404007136,-0.7404007136,-0.0001393174,1.2078887205,3899.287748105,727464.1281084596,723564.8403603547,0.4970379012,0.4951144314,0.551544615,0.4398933557,0.0045897308,0.0041994016,0.0078243979,0.0084954561,0.0083725419,0.0054314626,0.3471752511,0.3652420952,0.2875826537,0.3472182405,0.2876179271,0.3651638324,,,,
valid_2017_2019,composite_residual_rank,global,,36,2.4344058141,2.4401550415,0.0287106451,0.0292743386,-2.520069946,-3.2199310907,-44.0035743093,-22788820.4089214,-0.7751513473,-4.104706283,-0.1101067742,0.6522115179,-0.6522115179,0.0005500235,1.2328409542,-221436.8072159113,526472.742874647,747909.5500905584,0.4285518362,0.5284954293,0.4572827224,0.5064754375,0.0031699902,0.0127455033,0.0072530727,0.023113224,0.0260214054,0.0080235384,0.2234240547,0.1084092576,0.0570361535,0.079693189,0.086390292,0.1173420608,0.6111305342,0.7165744582,0.00152207,0.0015267176
valid_2017_2019,composite_residual_rank,rating_neutral,rating_bucket,36,2.5914811316,2.597012094,0.0042098641,0.0042179358,-2.470162626,-3.1542462513,-43.3108456692,-22730701.353187535,-0.7616035633,-4.0599187028,-0.0968015623,0.6492062781,-0.6492062781,-0.0006396312,1.2017879718,-219568.8172397484,529042.3869036868,748611.2041434352,0.4652782461,0.5051219069,0.4652565936,0.5051446579,,,0.0116780421,0.0257071664,0.0257060096,0.0116782167,0.2280146768,0.1103069733,0.0588085611,0.0798606362,0.0866628339,0.1178867815,0.6028697887,0.7155897484,,
valid_2017_2019,last_bucket_residual_z,amount_neutral,amount_bucket,36,-0.7411941313,-0.7393448881,-0.004588954,-0.0097503771,-1.875275119,-2.4399211356,-3.1973687026,-23866763.606461845,-0.4630132077,-1.538877819,0.0309416536,0.7015817803,-0.7015817803,-0.0002487678,1.2178219389,10632.7434448571,870310.5793460333,859677.8359011763,0.6464959276,0.3453745287,0.7108114833,0.2868074149,,0.0111162779,0.023929352,0.015026739,0.0165256093,0.0098086124,0.264863782,0.3508087728,0.3843274453,0.264863782,0.3843274453,0.3508087728,,,,
